seconds,timestamp,image,transcript
6900,01:55:00,lego_01-55-00.jpg,and we're going to try so the way I have envisioned this is that we're going to mount some Wheels on the side of the tracks
6910,01:55:10,lego_01-55-10.jpg,similar to how they did in the first roller coaster the first roller coaster has the the chain that brings the roller coaster up but then at the top it uses some Wheels
6920,01:55:20,lego_01-55-20.jpg,to basically push it around the curves so we're going to do something similar we're going to have uh
6930,01:55:30,lego_01-55-30.jpg,some Wheels mounted on the top and I think we
6940,01:55:40,lego_01-55-40.jpg,will have two of them I do have a prototype already built here oh I just lost the piece
6950,01:55:50,lego_01-55-50.jpg,and we got some Motors and a battery
6960,01:56:00,lego_01-56-00.jpg,box motor battery
6970,01:56:10,lego_01-56-10.jpg,box and I'm using these new flip-flop Technic gears which are Super super awesome
6980,01:56:20,lego_01-56-20.jpg,actually uh I think they're uh going to be Game Changer in terms of building like compact
6990,01:56:30,lego_01-56-30.jpg,mechanisms so I think the way I want to do this the way I had the Prototype I actually want two wheels mounted on the side and I'm going to actually
7000,01:56:40,lego_01-56-40.jpg,have two of these connect together to drive
7010,01:56:50,lego_01-56-50.jpg,so we need a way to drive these obviously and so we're going to
7020,01:57:00,lego_01-57-00.jpg,put some double bubble gears mounted like
7030,01:57:10,lego_01-57-10.jpg,so so we're going to go like so
7040,01:57:20,lego_01-57-20.jpg,and we're actually just going to tack these in like that that way I can drive
7050,01:57:30,lego_01-57-30.jpg,and then we'll put another one obviously actually let's just make this all
7060,01:57:40,lego_01-57-40.jpg,color coordinated put black one and then we need another
7070,01:57:50,lego_01-57-50.jpg,you know I took all these pieces out but oh there's
7080,01:58:00,lego_01-58-00.jpg,one
7090,01:58:10,lego_01-58-10.jpg,okay so now I have a single Drive drive
7100,01:58:20,lego_01-58-20.jpg,axle that drives both of those wheels so we're just going to have to we're going to mount this on the side of the track here and to do that
7110,01:58:30,lego_01-58-30.jpg,I'm actually going to use the bars that run in the middle of the track and we're just going to clip we're going to use these uh little Clips with a bar on them
7120,01:58:40,lego_01-58-40.jpg,to clip clip it to the track we're just going
7130,01:58:50,lego_01-58-50.jpg,to stick that in a technic connector we're going to put the Clips in so that way I can clip this Technic
7140,01:59:00,lego_01-59-00.jpg,connector to the bottom of the track and then we can mount whatever we want to to the track itself and it shouldn't interfere with the coaster actually
7150,01:59:10,lego_01-59-10.jpg,operating um so we'll make another one of those
7160,01:59:20,lego_01-59-20.jpg,and then we'll connect them together with a relatively long
7170,01:59:30,lego_01-59-30.jpg,axle so now I can clip it to basically because I have these mounted on an axle I can adjust the length of them to suit
7180,01:59:40,lego_01-59-40.jpg,the distance between the crossbars on the track so there we have a super it's actually quite a Sol
7190,01:59:50,lego_01-59-50.jpg,ID oh man I pulled a lot of these pieces out it's quite a solid colle connection to the track just from underneath
7200,02:00:00,lego_02-00-00.jpg,and uh you can actually Mount this to because it's got a sliding cuz these connectors are mounted on a sliding axle we can sh vary the
7210,02:00:10,lego_02-00-10.jpg,distance between them so we can actually mount it to any track piece uh The Straits either of these uh large
7220,02:00:20,lego_02-00-20.jpg,slopes the small slopes and uh I think we'll obviously probably have to figure out a way to connect them to the curved slopes
7230,02:00:30,lego_02-00-30.jpg,as well but uh I don't think that should be too much of a problem okay uh but
7240,02:00:40,lego_02-00-40.jpg,now we need to somehow Mount that as well so more Technic connectors we're just going to slide these
7250,02:00:50,lego_02-00-50.jpg,on actually I'm going to sit this one in
7260,02:01:00,lego_02-01-00.jpg,
7270,02:01:10,lego_02-01-10.jpg,there and I want this I don't want this to be rigidly mounted so I'm actually sliding these wheels on these
7280,02:01:20,lego_02-01-20.jpg,axles and I'm going to stick a rubber band to pull them in so that way when the
7290,02:01:30,lego_02-01-30.jpg,when the roller coaster comes by it can actually uh it'll it needs to like
7300,02:01:40,lego_02-01-40.jpg,basically have some flexibility in the movement so that it doesn't bind uh so we're just going to stick a rubber band on it like so
7310,02:01:50,lego_02-01-50.jpg,so now we have this basically spring-loaded set of Drive wheels that we can mount beside the roller coaster
7320,02:02:00,lego_02-02-00.jpg,track and I think that's pretty much it for this one I'm
7330,02:02:10,lego_02-02-10.jpg,going to mount this on so
7340,02:02:20,lego_02-02-20.jpg,now in theory when the roller coaster comes up you can see how it like turns the wheels but if I'm actually driving
7350,02:02:30,lego_02-02-30.jpg,these wheels it should lift the coaster up now this coaster actually might be too heavy in my testing I was only using empty
7360,02:02:40,lego_02-02-40.jpg,coasters and this thing is actually quite heavy so we'll see it might not work at all oh and actually her head gets in the way very interesting I might have to mount
7370,02:02:50,lego_02-02-50.jpg,it on the other side so there's clearance which we can definitely
7380,02:03:00,lego_02-03-00.jpg,do shouldn't be a
7390,02:03:10,lego_02-03-10.jpg,problem and then we should have some clearance
7400,02:03:20,lego_02-03-20.jpg,
7410,02:03:30,lego_02-03-30.jpg,okay uh now we need to make another one of those actually we're going to need to make a few might need to make more
7420,02:03:40,lego_02-03-40.jpg,than more than a few
7430,02:03:50,lego_02-03-50.jpg,we're going to need at least three because we'll probably need one on this section of track one on this section of track and then one on this section
7440,02:04:00,lego_02-04-00.jpg,of track so I'm just going to put a bunch together I think I have enough I think I pull enough pieces out to
7450,02:04:10,lego_02-04-10.jpg,make three of them or four of them I have uh one prototype already bu built
7460,02:04:20,lego_02-04-20.jpg,so but now that I know how this goes together should be pretty uh
7470,02:04:30,lego_02-04-30.jpg,
7480,02:04:40,lego_02-04-40.jpg,quick kind of doing this just based on memory but uh when first starting with an idea do you
7490,02:04:50,lego_02-04-50.jpg,prototype just by taking Parts in building or do you do anything electronically first no it's all just mostly I'd say
7500,02:05:00,lego_02-05-00.jpg,90 9% of the time I always start with real bricks and I just figure out
7510,02:05:10,lego_02-05-10.jpg,how to put them together yeah I just prototype with real bricks
7520,02:05:20,lego_02-05-20.jpg,it's definitely the way I prefer to
